Kecamatan;Desa/Kelurahan;TPS;1 PKB;2 Gerindra;3 PDIP;4 Golkar;5 Nasdem;6 Buruh;7 Gelora;8 PKS;9 PKN;10 Hanura;11 Garuda;12 PAN;13 PBB;14 Demokrat;15 PSI;16 Perindo;17 PPP;24 Umat
ADIPALA;ADIPALA;TPS-001;19;30;36;11;20;2;1;6;2;1;1;9;1;14;1;15;7;0
ADIPALA;ADIPALA;TPS-002;10;27;35;10;12;2;0;13;1;0;1;8;0;11;2;2;39;2
ADIPALA;ADIPALA;TPS-003;19;38;38;16;14;4;1;9;1;0;0;10;0;19;1;3;9;3
ADIPALA;ADIPALA;TPS-004;23;24;41;15;14;0;1;10;0;1;0;13;0;10;3;0;17;0
ADIPALA;ADIPALA;TPS-005;11;42;32;12;8;5;0;19;1;0;0;8;0;24;0;6;13;0
ADIPALA;ADIPALA;TPS-006;8;42;26;9;7;2;3;12;3;1;0;9;0;6;3;17;46;0
ADIPALA;ADIPALA;TPS-007;3;51;34;16;5;2;0;2;0;0;1;5;0;7;0;11;46;0
ADIPALA;ADIPALA;TPS-008;11;41;23;7;17;1;0;8;2;0;0;11;0;3;0;18;47;2
ADIPALA;ADIPALA;TPS-009;12;50;36;6;10;2;3;7;0;0;1;25;0;2;0;8;33;1
ADIPALA;ADIPALA;TPS-010;22;38;25;10;9;2;1;6;2;1;1;27;0;14;0;12;25;0
ADIPALA;ADIPALA;TPS-011;17;42;35;12;11;0;0;8;0;0;0;7;0;9;2;7;53;0
ADIPALA;ADIPALA;TPS-012;7;16;31;4;11;1;0;3;0;1;0;4;0;5;2;3;94;0
ADIPALA;ADIPALA;TPS-013;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032009/3301032009013
ADIPALA;ADIPALA;TPS-014;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032009/3301032009014
ADIPALA;ADIPALA;TPS-015;31;54;39;6;11;1;1;1;1;0;1;13;0;9;1;1;27;0
ADIPALA;ADIPALA;TPS-016;24;62;24;5;26;2;0;6;0;0;0;8;0;3;0;1;27;0
ADIPALA;ADIPALA;TPS-017;26;30;28;19;7;0;2;13;2;0;0;8;0;12;3;3;45;3
ADIPALA;ADIPALA;TPS-018;10;47;21;10;20;0;1;3;0;0;1;5;0;4;3;1;65;1
ADIPALA;ADIPALA;TPS-019;7;30;17;4;2;3;0;4;0;0;0;8;0;7;1;8;74;0
ADIPALA;ADIPALA;TPS-020;15;24;58;5;16;3;2;6;1;0;0;6;0;2;2;2;63;1
ADIPALA;ADIPALA;TPS-021;13;30;28;9;14;0;1;6;0;2;0;6;0;8;3;5;48;3
ADIPALA;ADIPALA;TPS-022;7;21;41;6;8;0;0;10;2;0;0;11;0;4;1;11;80;0
ADIPALA;ADIPALA;TPS-023;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032009/3301032009023
ADIPALA;ADIPALA;TPS-024;12;26;22;13;6;1;0;19;1;0;0;9;0;5;2;1;43;0
ADIPALA;ADIPALA;TPS-025;15;18;16;14;19;0;3;6;0;0;1;10;0;7;3;8;67;1
ADIPALA;ADIPALA;TPS-026;10;20;39;6;22;4;3;1;0;2;0;9;1;64;3;1;29;0
ADIPALA;ADIPALA;TPS-027;16;29;32;5;37;0;1;6;0;0;1;12;0;28;3;3;22;5
ADIPALA;ADIPALA;TPS-028;12;37;31;14;21;0;0;10;0;0;0;9;0;19;0;10;31;0
ADIPALA;ADIPALA;TPS-029;19;38;24;19;16;0;4;8;0;0;2;6;0;10;3;4;30;1
ADIPALA;ADIPALA;TPS-030;29;23;17;17;20;0;2;23;1;0;0;5;2;9;3;0;27;0
ADIPALA;ADIPALA;TPS-031;17;42;57;10;15;1;0;6;1;0;0;10;0;9;1;3;22;1
ADIPALA;ADIPALA;TPS-032;9;31;41;8;19;1;3;8;0;2;0;8;0;11;2;7;68;1
ADIPALA;ADIPALA;TPS-033;7;20;29;11;27;1;2;7;0;0;0;3;0;4;4;6;54;0
ADIPALA;ADIPALA;TPS-034;4;16;30;1;19;2;0;2;0;0;1;5;0;5;2;10;69;0
ADIPALA;ADIPALA;TPS-035;4;7;17;8;12;1;0;2;0;0;0;2;0;5;2;1;107;0
ADIPALA;ADIRAJA;TPS-001;62;22;47;4;3;0;1;4;0;0;0;27;0;7;4;3;10;0
ADIPALA;ADIRAJA;TPS-002;94;26;31;12;4;0;1;7;0;1;0;20;0;5;3;3;4;0
ADIPALA;ADIRAJA;TPS-003;62;14;35;9;10;0;2;8;0;0;1;6;0;9;3;0;4;0
ADIPALA;ADIRAJA;TPS-004;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032012/3301032012004
ADIPALA;ADIRAJA;TPS-005;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032012/3301032012005
ADIPALA;ADIRAJA;TPS-006;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032012/3301032012006
ADIPALA;ADIRAJA;TPS-007;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032012/3301032012007
ADIPALA;ADIRAJA;TPS-008;40;29;112;8;5;0;2;3;0;0;1;2;0;2;4;2;0;0
ADIPALA;ADIRAJA;TPS-009;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032012/3301032012009
ADIPALA;ADIRAJA;TPS-010;39;10;114;2;5;0;0;1;0;0;0;0;0;3;0;0;1;0
ADIPALA;ADIRAJA;TPS-011;32;6;118;2;3;0;0;2;0;0;0;1;0;1;1;0;2;0
ADIPALA;ADIRAJA;TPS-012;48;13;109;17;6;1;0;1;0;0;0;0;0;2;2;2;8;0
ADIPALA;ADIRAJA;TPS-013;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032012/3301032012013
